"","x","y","real_class"
"1","1.2481232"," 9.08467471","a"
"2","0.1942852"," 9.56913930","a"
"3","0.0248946"," 8.64999674","a"
"4","1.0712426"," 8.94842344","a"
"5","0.3428216"," 8.29807477","a"
"6","0.5415739"," 9.85463281","a"
"7","1.4338128"," 9.64992067","a"
"8","1.3474554"," 8.32190822","a"
"9","1.3838734"," 8.24146117","a"
"10","0.7557326"," 8.06568528","a"
"11","0.3917011"," 9.42388638","a"
"12","1.2927829"," 9.21047290","a"
"13","1.9996758"," 8.23599908","a"
"14","0.3837341"," 8.12128166","a"
"15","1.4096756"," 9.46264341","a"
"16","1.5597085"," 9.60677072","a"
"17","1.4634684"," 8.38842538","a"
"18","1.8447246"," 8.30213009","a"
"19","1.5237137"," 9.29954902","a"
"20","1.0968476"," 9.59777472","a"
"21","1.5651733"," 9.02251562","a"
"22","1.3824563"," 8.75766449","a"
"23","1.7283864"," 9.47020064","a"
"24","1.3173161"," 9.19055752","a"
"25","1.2488164"," 8.60112347","a"
"26","0.2966705"," 9.03533912","a"
"27","1.6640821"," 9.11253913","a"
"28","0.6153517"," 8.44601040","a"
"29","1.9238948"," 8.95566391","a"
"30","1.0199758"," 9.56803629","a"
"31","3.3465858"," 5.26288609","a"
"32","2.1812761"," 6.54220207","a"
"33","3.7889508"," 6.64306605","a"
"34","3.1658069"," 5.08161812","a"
"35","3.4368119"," 8.31627338","a"
"36","3.7676387"," 5.82201259","a"
"37","7.4964041"," 3.48234950","b"
"38","9.2016685"," 0.41612016","b"
"39","9.2893619"," 3.95162737","b"
"40","7.4138757"," 3.05076772","b"
"41","9.0275997"," 1.62580470","b"
"42","3.0021298"," 0.66205679","c"
"43","0.3014858","-1.50390380","c"
"44","1.1054524","-0.03056258","c"
"45","2.2328081","-3.26091789","c"
"46","3.9638751"," 2.56009228","c"
